episode_uid,experiment_split,case_id,temporal_overlap_seed_mode,suite,task_id,init_state_id,rollout_seed,task_description,target_objects,success,critical_event_type,critical_event_t,failure_type,final_t,episode_goal_progress_max,collector_event,collector_event_on_success,event_chunk_goal_progress_end,event_chunk_target_lift_max,event_chunk_drop_candidate,event_chunk_wrong_object_candidate
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|6|1340582,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340582,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,247,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|7|1340679,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340679,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,241,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|8|1340776,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340776,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,258,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|9|1340873,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340873,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,245,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_mug_coupled__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|0|1320000,calibration,cal_long_mug_task4_init0,coupled,libero_10_with_mug,4,0,1320000,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,220,1.0,True,True,0.5,0.008662342231103848,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_coupled__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|1|1320097,calibration,cal_long_mug_task4_init0,coupled,libero_10_with_mug,4,0,1320097,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,218,1.0,True,True,0.5,0.00840641319289348,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_coupled__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|2|1320194,calibration,cal_long_mug_task4_init0,coupled,libero_10_with_mug,4,0,1320194,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,113,success,218,1.0,True,True,0.5,0.008499786072544369,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_coupled__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|3|1320291,calibration,cal_long_mug_task4_init0,coupled,libero_10_with_mug,4,0,1320291,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,115,success,219,1.0,True,True,0.5,0.008854314450659262,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_coupled__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|4|1320388,calibration,cal_long_mug_task4_init0,coupled,libero_10_with_mug,4,0,1320388,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,113,success,217,1.0,True,True,0.5,0.00824600624048405,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_coupled__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|5|1320485,calibration,cal_long_mug_task4_init0,coupled,libero_10_with_mug,4,0,1320485,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,116,success,220,1.0,True,True,0.5,0.008958706037293374,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|0|1320000,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320000,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,113,success,217,1.0,True,True,0.5,0.008662700489791342,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|10|1320970,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320970,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,113,success,216,1.0,True,True,0.5,0.008932693410213632,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|11|1321067,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321067,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,113,success,218,1.0,True,True,0.5,0.008597826711460255,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|12|1321164,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321164,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,115,success,219,1.0,True,True,0.5,0.008584580480385684,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|13|1321261,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321261,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,218,1.0,True,True,0.5,0.008557446228049492,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|14|1321358,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321358,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,218,1.0,True,True,0.5,0.008272172787445353,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|15|1321455,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321455,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,113,success,219,1.0,True,True,0.5,0.008587932872395232,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|16|1321552,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321552,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,113,success,218,1.0,True,True,0.5,0.008337064384079163,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|17|1321649,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321649,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,113,success,219,1.0,True,True,0.5,0.008740560958818144,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|18|1321746,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321746,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,218,1.0,True,True,0.5,0.008676641978768107,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|19|1321843,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1321843,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,218,1.0,True,True,0.5,0.00848122418574776,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|1|1320097,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320097,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,219,1.0,True,True,0.5,0.008680288999320385,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|2|1320194,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320194,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,218,1.0,True,True,0.5,0.008235855339710108,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|3|1320291,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320291,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,219,1.0,True,True,0.5,0.008498343740196868,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|4|1320388,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320388,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,223,1.0,True,True,0.5,0.008711955565250451,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|5|1320485,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320485,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,115,success,219,1.0,True,True,0.5,0.009040298148507597,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|6|1320582,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320582,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,123,success,228,1.0,True,True,0.5,0.008845052190848246,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|7|1320679,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320679,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,221,1.0,True,True,0.5,0.009486451653421157,1.0,0.0
temporal_overlap_passive_20260821__cal_long_mug_independent__libero_10_with_mug__task4__init0__max_value__l0|libero_10_with_mug|4|0|0|8|1320776,calibration,cal_long_mug_task4_init0,independent,libero_10_with_mug,4,0,1320776,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",True,target_drop_candidate,114,success,218,1.0,True,True,0.5,0.008306771093287868,1.0,0.0
