kind,job_id,candidate_idx,selected,branches,successes,sr,value,contact_steps,local_lift,local_drop,terminal_drop
neighbor,neighbor_t2_i10,3,False,10,10,1.0,0.5104479789733887,13.0,0.07773165494256859,0.0,0.0
neighbor,neighbor_t2_i10,4,False,10,10,1.0,0.5097384452819824,13.0,0.07730309453726236,0.0,0.0
neighbor,neighbor_t2_i10,5,False,10,10,1.0,0.5098695755004883,13.0,0.0768320591413297,0.0,0.0
neighbor,neighbor_t2_i10,6,True,10,10,1.0,0.5107147097587585,13.0,0.07730285928733338,0.0,0.0
neighbor,neighbor_t2_i10,7,False,10,10,1.0,0.5102354288101196,14.0,0.07362869265372624,0.0,0.0
neighbor,neighbor_t2_i11,0,False,10,6,0.6,0.35498273372650146,2.0,0.001644237205362331,0.0,0.1
neighbor,neighbor_t2_i11,1,False,10,4,0.4,0.354128897190094,1.0,0.001847467014770135,0.0,0.1
neighbor,neighbor_t2_i11,2,False,10,4,0.4,0.35618865489959717,0.0,0.0016646166572580473,0.0,0.2
neighbor,neighbor_t2_i11,3,True,10,4,0.4,0.35711750388145447,1.0,0.001695845516502259,0.0,0.2
neighbor,neighbor_t2_i11,4,False,10,3,0.3,0.3561755418777466,2.0,0.0016579983048402164,0.0,0.1
neighbor,neighbor_t2_i11,5,False,10,1,0.1,0.35538238286972046,0.0,0.0017082414207648527,0.0,0.1
neighbor,neighbor_t2_i11,6,False,10,4,0.4,0.35674071311950684,2.0,0.0016316792053785861,0.0,0.0
neighbor,neighbor_t2_i11,7,False,10,0,0.0,0.3560197949409485,2.0,0.0017340344165267252,0.0,0.4
neighbor,neighbor_t2_i12,0,False,10,2,0.2,0.4964982271194458,4.0,0.0037500729593723664,0.0,0.9
neighbor,neighbor_t2_i12,1,False,10,10,1.0,0.49556612968444824,7.0,0.010549141820178354,0.0,0.0
neighbor,neighbor_t2_i12,2,False,10,0,0.0,0.4962342083454132,6.0,0.004577681599812422,0.0,0.5
neighbor,neighbor_t2_i12,3,False,10,10,1.0,0.4965725243091583,1.0,0.001971080203150108,0.0,0.0
neighbor,neighbor_t2_i12,4,False,10,10,1.0,0.4957982301712036,1.0,0.0019477361745989519,0.0,0.0
neighbor,neighbor_t2_i12,5,False,10,10,1.0,0.49702540040016174,1.0,0.001951966042466391,0.0,0.0
neighbor,neighbor_t2_i12,6,False,10,10,1.0,0.49625617265701294,0.0,0.0019792171163623973,0.0,0.0
neighbor,neighbor_t2_i12,7,True,10,10,1.0,0.49938058853149414,0.0,0.0019688444555984314,0.0,0.0
neighbor,neighbor_t2_i9,0,True,10,9,0.9,0.5129010677337646,5.0,0.0034472193426059727,0.0,0.0
neighbor,neighbor_t2_i9,1,False,10,10,1.0,0.5118322372436523,6.0,0.0034410688931091615,0.0,0.0
neighbor,neighbor_t2_i9,2,False,10,9,0.9,0.5121721625328064,5.0,0.0033623816011109087,0.0,0.0
neighbor,neighbor_t2_i9,3,False,10,9,0.9,0.5124713182449341,5.0,0.0034451745640821513,0.0,0.0
neighbor,neighbor_t2_i9,4,False,10,10,1.0,0.5122912526130676,3.0,0.0018708797834549457,0.0,0.0
neighbor,neighbor_t2_i9,5,False,10,10,1.0,0.5128059387207031,5.0,0.00334810245232392,0.0,0.0
neighbor,neighbor_t2_i9,6,False,10,9,0.9,0.5119894742965698,6.0,0.003324330709399262,0.0,0.0
neighbor,neighbor_t2_i9,7,False,10,10,1.0,0.5124512314796448,3.0,0.0019390220169392958,0.0,0.0
replication,repeat_pool_11,6,False,10,6,0.6,0.31730127334594727,0.0,0.0,0.0,0.3
replication,repeat_pool_11,7,True,10,4,0.4,0.31847018003463745,0.0,0.0,0.0,0.5
replication,repeat_pool_13,3,False,10,10,1.0,0.5046666860580444,13.0,0.0610497728389857,0.0,0.0
replication,repeat_pool_13,4,True,10,1,0.1,0.5056585073471069,5.0,0.004099888648872507,0.0,0.9
replication,repeat_pool_13,5,False,10,10,1.0,0.5049793720245361,13.0,0.060115829359109155,0.0,0.0
