id,identical_query_inputs,identical_video
position_x0.1_t7_i1,True,True
position_x0.2_t7_i1,True,True
position_x0.3_t7_i1,True,True
position_x0.4_t7_i1,True,True
position_x0.5_t7_i1,True,True
position_y0.1_t7_i1,True,True
position_y0.2_t7_i1,True,True
position_y0.3_t7_i1,True,True
position_y0.4_t7_i1,True,True
position_y0.5_t7_i1,True,True
object__t8_i2,True,True
environment__t8_i2,True,True
position_x0.1_t8_i1,True,True
position_x0.2_t8_i1,True,True
position_x0.3_t8_i1,True,True
position_x0.4_t8_i1,True,True
position_x0.5_t8_i1,True,True
position_y0.1_t8_i1,True,True
position_y0.2_t8_i1,True,True
position_y0.3_t8_i1,True,True
position_y0.4_t8_i1,True,True
position_y0.5_t8_i1,True,True
object__t9_i2,True,True
environment__t9_i2,True,True
position_x0.1_t9_i1,True,True
position_x0.2_t9_i1,True,True
position_x0.3_t9_i1,True,True
position_x0.4_t9_i1,True,True
position_x0.5_t9_i1,True,True
position_y0.1_t9_i1,True,True
position_y0.2_t9_i1,True,True
position_y0.3_t9_i1,True,True
position_y0.4_t9_i1,True,True
position_y0.5_t9_i1,True,True
object__t0_i3,True,True
environment__t0_i3,True,True
object__t1_i3,True,True
environment__t1_i3,True,True
object__t2_i3,True,True
environment__t2_i3,True,True
object__t3_i3,True,True
environment__t3_i3,True,True
object__t4_i3,True,True
environment__t4_i3,True,True
object__t5_i3,True,True
environment__t5_i3,True,True
object__t6_i3,True,True
environment__t6_i3,True,True
object__t7_i3,True,True
environment__t7_i3,True,True
object__t8_i3,True,True
environment__t8_i3,True,True
object__t9_i3,True,True
environment__t9_i3,True,True
object__t0_i4,True,True
environment__t0_i4,True,True
object__t1_i4,True,True
environment__t1_i4,True,True
object__t2_i4,True,True
environment__t2_i4,True,True
object__t3_i4,True,True
environment__t3_i4,True,True
object__t4_i4,True,True
environment__t4_i4,True,True
object__t5_i4,True,True
environment__t5_i4,True,True
object__t6_i4,True,True
environment__t6_i4,True,True
object__t7_i4,True,True
environment__t7_i4,True,True
object__t8_i4,True,True
environment__t8_i4,True,True
object__t9_i4,True,True
environment__t9_i4,True,True
object__t0_i5,True,True
environment__t0_i5,True,True
object__t1_i5,True,True
environment__t1_i5,True,True
object__t2_i5,True,True
environment__t2_i5,True,True
object__t3_i5,True,True
environment__t3_i5,True,True
object__t4_i5,True,True
environment__t4_i5,True,True
object__t5_i5,True,True
environment__t5_i5,True,True
object__t6_i5,True,True
environment__t6_i5,True,True
object__t7_i5,True,True
environment__t7_i5,True,True
object__t8_i5,True,True
environment__t8_i5,True,True
object__t9_i5,True,True
environment__t9_i5,True,True
object__t0_i6,True,True
environment__t0_i6,True,True
object__t1_i6,True,True
environment__t1_i6,True,True
object__t2_i6,True,True
environment__t2_i6,True,True
object__t3_i6,True,True
environment__t3_i6,True,True
object__t4_i6,True,True
environment__t4_i6,True,True
object__t5_i6,True,True
environment__t5_i6,True,True
object__t6_i6,True,True
environment__t6_i6,True,True
object__t7_i6,True,True
environment__t7_i6,True,True
object__t8_i6,True,True
environment__t8_i6,True,True
object__t9_i6,True,True
environment__t9_i6,True,True
