case_stratum,baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate,mean_surrogate_alarm_rate
known_boundary,max_value,phase_surrogate_l1_r0.3_e0.0630054843163_h8,3,24,11,11,0.4583333333333333,0.4583333333333333,0.0,-0.25,0.25,-0.25,0.25,5,5,14,1.0,15.458333333333334,19.833333333333332,1.299382215007215,1.2830188679245282,0.4290597744223317,0.4290597744223317
known_boundary,max_value,surrogate_gate_l1_e0.146849980679_h8,3,24,11,10,0.4583333333333333,0.4166666666666667,-0.041666666666666664,-0.20833333333333334,0.16666666666666666,-0.375,0.25,3,4,17,1.0,15.458333333333334,15.958333333333334,1.101190476190476,1.0323450134770888,0.15584490740740742,0.15584490740740742
known_boundary,max_value,action_l1,3,24,11,9,0.4583333333333333,0.375,-0.08333333333333333,-0.2916666666666667,0.125,-0.25,0.0,3,5,16,0.7265625,15.458333333333334,15.458333333333334,1.0,1.0,0.0,0.23829966329966332
known_boundary,max_value,phase_surrogate_l1_r0.3_e0.0884176756291_h8,3,24,11,9,0.4583333333333333,0.375,-0.08333333333333333,-0.2916666666666667,0.125,-0.375,0.125,3,5,16,0.7265625,15.458333333333334,18.291666666666668,1.1895517676767677,1.1832884097035041,0.28580005234417,0.28580005234417
new_ood_holdout,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,3,24,21,24,0.875,1.0,0.125,0.0,0.25,0.0,0.25,3,0,21,0.25,12.0,11.875,1.078622766122766,0.9895833333333334,0.13407764620999915,0.13407764620999915
new_ood_holdout,max_value,action_l1,3,24,21,23,0.875,0.9583333333333334,0.08333333333333333,0.0,0.20833333333333334,0.0,0.25,2,0,22,0.5,12.0,12.0,1.0,1.0,0.0,0.11904108962932491
new_ood_holdout,max_value,requery_l1_h8,3,24,21,23,0.875,0.9583333333333334,0.08333333333333333,0.0,0.20833333333333334,0.0,0.25,2,0,22,0.5,12.0,14.5,1.2415674603174602,1.2083333333333333,0.4052657956150603,0.11932523154949626
new_ood_holdout,max_value,surrogate_gate_l1_e0.0884176756291_h8,3,24,21,23,0.875,0.9583333333333334,0.08333333333333333,-0.041666666666666664,0.25,0.0,0.25,3,1,20,0.625,12.0,13.208333333333334,1.055916305916306,1.1006944444444444,0.12512694471728084,0.12512694471728084
new_ood_holdout,max_value,surrogate_horizon_l1_e0.0630054843163_h8,3,24,21,23,0.875,0.9583333333333334,0.08333333333333333,0.0,0.20833333333333334,0.0,0.25,2,0,22,0.5,12.0,13.208333333333334,1.136760992275698,1.1006944444444444,0.2715282594297687,0.2715282594297687
new_ood_holdout,max_value,phase_surrogate_l1_r0.3_e0.0630054843163_h8,3,24,21,22,0.875,0.9166666666666666,0.041666666666666664,0.0,0.125,0.0,0.125,1,0,23,1.0,12.0,13.625,1.134959362532892,1.1354166666666667,0.276873563015919,0.276873563015919
new_ood_holdout,max_value,surrogate_gate_l1_e0.0630054843163_h8,3,24,21,22,0.875,0.9166666666666666,0.041666666666666664,-0.125,0.20833333333333334,0.0,0.125,3,2,19,1.0,12.0,14.625,1.1654513072711603,1.21875,0.2995592481096923,0.2995592481096923
new_ood_holdout,max_value,phase_l1_r0.3,3,24,21,22,0.875,0.9166666666666666,0.041666666666666664,-0.08333333333333333,0.16666666666666666,-0.125,0.25,2,1,21,1.0,12.0,12.083333333333334,1.0,1.0069444444444444,0.0,0.11348781937017231
new_ood_holdout,max_value,phase_surrogate_l1_r0.3_e0.146849980679_h8,3,24,21,22,0.875,0.9166666666666666,0.041666666666666664,-0.125,0.20833333333333334,-0.125,0.25,3,2,19,1.0,12.0,12.416666666666666,1.0092171717171716,1.034722222222222,0.022297196929549873,0.022297196929549873
new_ood_holdout,max_value,phase_surrogate_l1_r0.3_e0.0884176756291_h8,3,24,21,21,0.875,0.875,0.0,-0.16666666666666666,0.16666666666666666,0.0,0.0,2,2,20,1.0,12.0,14.041666666666666,1.1081168831168833,1.1701388888888888,0.18316607414063327,0.18316607414063327
new_ood_holdout,max_value,surrogate_horizon_l1_e0.0884176756291_h8,3,24,21,21,0.875,0.875,0.0,-0.125,0.125,0.0,0.0,1,1,22,1.0,12.0,14.0,1.1145240924652688,1.1666666666666667,0.18295743303966985,0.18295743303966985
new_ood_holdout,max_value,phase_requery_l1_r0.5_h8,3,24,21,21,0.875,0.875,0.0,-0.20833333333333334,0.20833333333333334,-0.125,0.25,3,3,18,1.0,12.0,15.416666666666666,1.2447390572390573,1.284722222222222,0.3869166933461842,0.14680345088454355
new_ood_holdout,max_value,surrogate_gate_l1_e0.146849980679_h8,3,24,21,21,0.875,0.875,0.0,-0.125,0.125,-0.125,0.125,1,1,22,1.0,12.0,13.375,1.033225108225108,1.1145833333333333,0.06453949465965247,0.06453949465965247
new_ood_holdout,max_value,surrogate_horizon_l1_e0.146849980679_h8,3,24,21,21,0.875,0.875,0.0,-0.125,0.125,-0.25,0.25,2,2,20,1.0,12.0,13.166666666666666,1.0294913419913418,1.097222222222222,0.05610600592218239,0.05610600592218239
new_ood_holdout,max_value,surrogate_disagreement_l1_e0.0884176756291_h8,3,24,21,20,0.875,0.8333333333333334,-0.041666666666666664,-0.16666666666666666,0.08333333333333333,-0.125,0.0,1,2,21,1.0,12.0,13.208333333333334,1.0290854978354977,1.1006944444444444,0.060971716310590986,0.15736009928784864
new_ood_holdout,max_value,phase_requery_l1_r0.3_h8,3,24,21,19,0.875,0.7916666666666666,-0.08333333333333333,-0.25,0.125,-0.25,0.125,2,4,18,0.6875,12.0,15.458333333333334,1.161589856902357,1.2881944444444444,0.2826675189871784,0.1504599733701901
