case_id,evaluation_cohort,independent_group,position_level,task_id,init_state_id,baseline_success,method_success,baseline_final_t,method_final_t,trigger_passed,intervention_applied,counterfactual_reused,primitive_steps,baseline_target_drop_candidate,method_target_drop_candidate,baseline_wrong_object_interaction_candidate,method_wrong_object_interaction_candidate,baseline_official_safety_violation,method_official_safety_violation,method,success_delta,rescued,harmed
p3d_development__x0p2__task9__init42__rollout0,replication,x0.2|task9|init42,x0.2,9,42,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task9__init43__rollout0,replication,x0.2|task9|init43,x0.2,9,43,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task9__init44__rollout0,replication,x0.2|task9|init44,x0.2,9,44,0,0,280,280,0,0,1,0,0,0,1,1,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task4__init40__rollout0,novel_cell,y0.1|task4|init40,y0.1,4,40,1,1,172,172,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task4__init41__rollout0,novel_cell,y0.1|task4|init41,y0.1,4,41,1,1,128,128,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task4__init42__rollout0,novel_cell,y0.1|task4|init42,y0.1,4,42,1,1,128,128,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task4__init43__rollout0,novel_cell,y0.1|task4|init43,y0.1,4,43,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task4__init44__rollout0,novel_cell,y0.1|task4|init44,y0.1,4,44,1,1,129,129,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task6__init40__rollout0,novel_cell,y0.1|task6|init40,y0.1,6,40,0,0,280,280,1,1,0,24,0,1,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task6__init41__rollout0,novel_cell,y0.1|task6|init41,y0.1,6,41,1,1,175,175,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task6__init42__rollout0,novel_cell,y0.1|task6|init42,y0.1,6,42,1,1,252,191,1,1,0,24,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task6__init43__rollout0,novel_cell,y0.1|task6|init43,y0.1,6,43,1,1,175,190,1,1,0,22,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task6__init44__rollout0,novel_cell,y0.1|task6|init44,y0.1,6,44,0,1,280,190,1,1,0,23,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p1__task8__init40__rollout0,novel_cell,y0.1|task8|init40,y0.1,8,40,1,1,233,193,1,1,0,24,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task8__init41__rollout0,novel_cell,y0.1|task8|init41,y0.1,8,41,1,1,213,190,1,1,0,23,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task8__init42__rollout0,novel_cell,y0.1|task8|init42,y0.1,8,42,1,1,211,190,1,1,0,23,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task8__init43__rollout0,novel_cell,y0.1|task8|init43,y0.1,8,43,1,1,209,191,1,1,0,23,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task8__init44__rollout0,novel_cell,y0.1|task8|init44,y0.1,8,44,1,1,256,193,1,1,0,24,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task9__init40__rollout0,novel_cell,y0.1|task9|init40,y0.1,9,40,0,1,280,140,1,1,0,24,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p1__task9__init41__rollout0,novel_cell,y0.1|task9|init41,y0.1,9,41,1,1,157,139,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task9__init42__rollout0,novel_cell,y0.1|task9|init42,y0.1,9,42,0,1,280,147,1,1,0,24,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p1__task9__init43__rollout0,novel_cell,y0.1|task9|init43,y0.1,9,43,1,1,148,139,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p1__task9__init44__rollout0,novel_cell,y0.1|task9|init44,y0.1,9,44,0,1,280,137,1,1,0,24,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task4__init40__rollout0,replication,y0.2|task4|init40,y0.2,4,40,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task4__init41__rollout0,replication,y0.2|task4|init41,y0.2,4,41,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task4__init42__rollout0,replication,y0.2|task4|init42,y0.2,4,42,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task4__init43__rollout0,replication,y0.2|task4|init43,y0.2,4,43,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task4__init44__rollout0,replication,y0.2|task4|init44,y0.2,4,44,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task6__init40__rollout0,replication,y0.2|task6|init40,y0.2,6,40,0,1,280,186,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task6__init41__rollout0,replication,y0.2|task6|init41,y0.2,6,41,0,1,280,186,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task6__init42__rollout0,replication,y0.2|task6|init42,y0.2,6,42,0,1,280,187,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task6__init43__rollout0,replication,y0.2|task6|init43,y0.2,6,43,0,1,280,186,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task6__init44__rollout0,replication,y0.2|task6|init44,y0.2,6,44,0,1,280,185,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task7__init40__rollout0,novel_cell,y0.2|task7|init40,y0.2,7,40,1,1,211,180,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task7__init41__rollout0,novel_cell,y0.2|task7|init41,y0.2,7,41,0,1,280,222,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task7__init42__rollout0,novel_cell,y0.2|task7|init42,y0.2,7,42,1,1,210,179,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task7__init43__rollout0,novel_cell,y0.2|task7|init43,y0.2,7,43,0,1,280,178,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task7__init44__rollout0,novel_cell,y0.2|task7|init44,y0.2,7,44,1,1,181,179,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task8__init40__rollout0,novel_cell,y0.2|task8|init40,y0.2,8,40,1,1,233,188,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task8__init41__rollout0,novel_cell,y0.2|task8|init41,y0.2,8,41,1,1,205,199,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task8__init42__rollout0,novel_cell,y0.2|task8|init42,y0.2,8,42,1,1,238,188,1,1,0,25,1,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task8__init43__rollout0,novel_cell,y0.2|task8|init43,y0.2,8,43,0,1,280,196,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task8__init44__rollout0,novel_cell,y0.2|task8|init44,y0.2,8,44,1,1,252,189,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task9__init40__rollout0,replication,y0.2|task9|init40,y0.2,9,40,0,1,280,173,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task9__init41__rollout0,replication,y0.2|task9|init41,y0.2,9,41,0,0,280,280,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__y0p2__task9__init42__rollout0,replication,y0.2|task9|init42,y0.2,9,42,0,1,280,164,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task9__init43__rollout0,replication,y0.2|task9|init43,y0.2,9,43,0,1,280,165,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p2__task9__init44__rollout0,replication,y0.2|task9|init44,y0.2,9,44,1,0,178,280,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,-1,0,1
p3d_development__y0p3__task1__init40__rollout0,replication,y0.3|task1|init40,y0.3,1,40,0,1,280,217,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task1__init41__rollout0,replication,y0.3|task1|init41,y0.3,1,41,0,1,280,161,1,1,0,25,0,0,1,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task1__init42__rollout0,replication,y0.3|task1|init42,y0.3,1,42,0,1,280,210,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task1__init43__rollout0,replication,y0.3|task1|init43,y0.3,1,43,0,1,280,205,1,1,0,25,0,0,1,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task1__init44__rollout0,replication,y0.3|task1|init44,y0.3,1,44,0,1,280,201,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task5__init40__rollout0,replication,y0.3|task5|init40,y0.3,5,40,0,1,280,218,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task5__init41__rollout0,replication,y0.3|task5|init41,y0.3,5,41,0,1,280,270,1,1,0,25,0,0,1,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task5__init42__rollout0,replication,y0.3|task5|init42,y0.3,5,42,0,1,280,215,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task5__init43__rollout0,replication,y0.3|task5|init43,y0.3,5,43,0,1,280,229,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__y0p3__task5__init44__rollout0,replication,y0.3|task5|init44,y0.3,5,44,0,1,280,231,1,1,0,25,0,0,1,0,0,0,workspace_calibrated,1,1,0
p3d_development__x0p2__task2__init40__rollout0,novel_cell,x0.2|task2|init40,x0.2,2,40,1,1,276,172,1,1,0,3,1,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task2__init41__rollout0,novel_cell,x0.2|task2|init41,x0.2,2,41,1,1,129,132,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task2__init42__rollout0,novel_cell,x0.2|task2|init42,x0.2,2,42,1,1,129,132,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task2__init43__rollout0,novel_cell,x0.2|task2|init43,x0.2,2,43,1,1,169,174,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task2__init44__rollout0,novel_cell,x0.2|task2|init44,x0.2,2,44,1,1,169,172,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task5__init40__rollout0,replication,x0.2|task5|init40,x0.2,5,40,1,1,268,249,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task5__init41__rollout0,replication,x0.2|task5|init41,x0.2,5,41,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task5__init42__rollout0,replication,x0.2|task5|init42,x0.2,5,42,1,0,276,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,-1,0,1
p3d_development__x0p2__task5__init43__rollout0,replication,x0.2|task5|init43,x0.2,5,43,1,1,192,194,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task5__init44__rollout0,replication,x0.2|task5|init44,x0.2,5,44,0,0,280,280,0,0,1,0,1,1,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task6__init40__rollout0,replication,x0.2|task6|init40,x0.2,6,40,0,0,280,280,0,0,1,0,1,1,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task6__init41__rollout0,replication,x0.2|task6|init41,x0.2,6,41,1,1,206,206,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task6__init42__rollout0,replication,x0.2|task6|init42,x0.2,6,42,0,0,280,280,0,0,1,0,1,1,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task6__init43__rollout0,replication,x0.2|task6|init43,x0.2,6,43,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task6__init44__rollout0,replication,x0.2|task6|init44,x0.2,6,44,1,1,187,187,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task9__init40__rollout0,replication,x0.2|task9|init40,x0.2,9,40,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task9__init41__rollout0,replication,x0.2|task9|init41,x0.2,9,41,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task9__init42__rollout0,replication,x0.2|task9|init42,x0.2,9,42,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task9__init43__rollout0,replication,x0.2|task9|init43,x0.2,9,43,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__x0p2__task9__init44__rollout0,replication,x0.2|task9|init44,x0.2,9,44,0,0,280,280,0,0,1,0,0,0,1,1,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task4__init40__rollout0,novel_cell,y0.1|task4|init40,y0.1,4,40,1,1,172,172,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task4__init41__rollout0,novel_cell,y0.1|task4|init41,y0.1,4,41,1,1,128,128,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task4__init42__rollout0,novel_cell,y0.1|task4|init42,y0.1,4,42,1,1,128,128,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task4__init43__rollout0,novel_cell,y0.1|task4|init43,y0.1,4,43,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task4__init44__rollout0,novel_cell,y0.1|task4|init44,y0.1,4,44,1,1,129,129,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task6__init40__rollout0,novel_cell,y0.1|task6|init40,y0.1,6,40,0,1,280,239,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p1__task6__init41__rollout0,novel_cell,y0.1|task6|init41,y0.1,6,41,1,1,175,175,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task6__init42__rollout0,novel_cell,y0.1|task6|init42,y0.1,6,42,1,1,252,212,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task6__init43__rollout0,novel_cell,y0.1|task6|init43,y0.1,6,43,1,1,175,178,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task6__init44__rollout0,novel_cell,y0.1|task6|init44,y0.1,6,44,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task8__init40__rollout0,novel_cell,y0.1|task8|init40,y0.1,8,40,1,1,233,212,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task8__init41__rollout0,novel_cell,y0.1|task8|init41,y0.1,8,41,1,1,213,216,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task8__init42__rollout0,novel_cell,y0.1|task8|init42,y0.1,8,42,1,1,211,204,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task8__init43__rollout0,novel_cell,y0.1|task8|init43,y0.1,8,43,1,1,209,212,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task8__init44__rollout0,novel_cell,y0.1|task8|init44,y0.1,8,44,1,1,256,256,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task9__init40__rollout0,novel_cell,y0.1|task9|init40,y0.1,9,40,0,1,280,147,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p1__task9__init41__rollout0,novel_cell,y0.1|task9|init41,y0.1,9,41,1,1,157,154,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task9__init42__rollout0,novel_cell,y0.1|task9|init42,y0.1,9,42,0,1,280,148,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p1__task9__init43__rollout0,novel_cell,y0.1|task9|init43,y0.1,9,43,1,1,148,150,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p1__task9__init44__rollout0,novel_cell,y0.1|task9|init44,y0.1,9,44,0,1,280,149,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p2__task4__init40__rollout0,replication,y0.2|task4|init40,y0.2,4,40,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task4__init41__rollout0,replication,y0.2|task4|init41,y0.2,4,41,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task4__init42__rollout0,replication,y0.2|task4|init42,y0.2,4,42,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task4__init43__rollout0,replication,y0.2|task4|init43,y0.2,4,43,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task4__init44__rollout0,replication,y0.2|task4|init44,y0.2,4,44,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task6__init40__rollout0,replication,y0.2|task6|init40,y0.2,6,40,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task6__init41__rollout0,replication,y0.2|task6|init41,y0.2,6,41,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task6__init42__rollout0,replication,y0.2|task6|init42,y0.2,6,42,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task6__init43__rollout0,replication,y0.2|task6|init43,y0.2,6,43,0,1,280,277,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p2__task6__init44__rollout0,replication,y0.2|task6|init44,y0.2,6,44,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task7__init40__rollout0,novel_cell,y0.2|task7|init40,y0.2,7,40,1,1,211,183,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task7__init41__rollout0,novel_cell,y0.2|task7|init41,y0.2,7,41,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task7__init42__rollout0,novel_cell,y0.2|task7|init42,y0.2,7,42,1,1,210,177,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task7__init43__rollout0,novel_cell,y0.2|task7|init43,y0.2,7,43,0,1,280,227,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p2__task7__init44__rollout0,novel_cell,y0.2|task7|init44,y0.2,7,44,1,1,181,227,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task8__init40__rollout0,novel_cell,y0.2|task8|init40,y0.2,8,40,1,1,233,254,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task8__init41__rollout0,novel_cell,y0.2|task8|init41,y0.2,8,41,1,0,205,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,-1,0,1
p3d_development__y0p2__task8__init42__rollout0,novel_cell,y0.2|task8|init42,y0.2,8,42,1,0,238,280,1,1,0,3,1,0,0,0,0,0,workspace_retreat_only,-1,0,1
p3d_development__y0p2__task8__init43__rollout0,novel_cell,y0.2|task8|init43,y0.2,8,43,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task8__init44__rollout0,novel_cell,y0.2|task8|init44,y0.2,8,44,1,0,252,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,-1,0,1
p3d_development__y0p2__task9__init40__rollout0,replication,y0.2|task9|init40,y0.2,9,40,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task9__init41__rollout0,replication,y0.2|task9|init41,y0.2,9,41,0,0,280,280,1,1,0,3,0,1,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task9__init42__rollout0,replication,y0.2|task9|init42,y0.2,9,42,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task9__init43__rollout0,replication,y0.2|task9|init43,y0.2,9,43,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p2__task9__init44__rollout0,replication,y0.2|task9|init44,y0.2,9,44,1,0,178,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,-1,0,1
p3d_development__y0p3__task1__init40__rollout0,replication,y0.3|task1|init40,y0.3,1,40,0,1,280,257,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p3__task1__init41__rollout0,replication,y0.3|task1|init41,y0.3,1,41,0,0,280,280,1,1,0,3,0,0,1,1,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p3__task1__init42__rollout0,replication,y0.3|task1|init42,y0.3,1,42,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p3__task1__init43__rollout0,replication,y0.3|task1|init43,y0.3,1,43,0,1,280,205,1,1,0,3,0,0,1,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p3__task1__init44__rollout0,replication,y0.3|task1|init44,y0.3,1,44,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p3__task5__init40__rollout0,replication,y0.3|task5|init40,y0.3,5,40,0,1,280,218,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,1,1,0
p3d_development__y0p3__task5__init41__rollout0,replication,y0.3|task5|init41,y0.3,5,41,0,0,280,280,1,1,0,3,0,0,1,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p3__task5__init42__rollout0,replication,y0.3|task5|init42,y0.3,5,42,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p3__task5__init43__rollout0,replication,y0.3|task5|init43,y0.3,5,43,0,0,280,280,1,1,0,3,0,0,0,0,0,0,workspace_retreat_only,0,0,0
p3d_development__y0p3__task5__init44__rollout0,replication,y0.3|task5|init44,y0.3,5,44,0,0,280,280,1,1,0,3,0,0,1,0,0,0,workspace_retreat_only,0,0,0
